,All food,Beef and veal,Cereals and bakery products,Dairy products,Eggs,Fats and oils,Fish and seafood,Food at home,Food away from home,Fresh fruits,Fresh fruits and vegetables,Fresh vegetables,Fruits and vegetables,Meats,"Meats, poultry, and fish",Nonalcoholic beverages,Other foods,Other meats,Pork,Poultry,Processed fruits and vegetables,Sugar and sweets,log_All food,log_Beef and veal,log_Cereals and bakery products,log_Dairy products,log_Eggs,log_Fats and oils,log_Fish and seafood,log_Food at home,log_Food away from home,log_Fresh fruits,log_Fresh fruits and vegetables,log_Fresh vegetables,log_Fruits and vegetables,log_Meats,"log_Meats, poultry, and fish",log_Nonalcoholic beverages,log_Other foods,log_Other meats,log_Pork,log_Poultry,log_Processed fruits and vegetables,log_Sugar and sweets
Fresh fruits and vegetables,0.3955992943454034,0.17638128776899373,0.2976440648016898,0.42310455077927933,0.30228410284407825,0.2495792646073311,0.39224532878819696,0.4472432069413635,0.1850919989693753,0.78404887844807,1.0,0.6977913784172589,0.8734496094843017,0.2644499846623433,0.30949507689689576,0.22620379936355914,0.16441213962781892,0.3727218847692781,0.2672697991328333,0.279879151139542,0.25670166766273433,0.03760774881730269,0.41040178246037934,0.1955760479291986,0.3231167622889962,0.4134461251488612,0.218206224700159,0.24891526638468697,0.31734033250797683,0.44969032898040623,0.194600730754687,0.72189687039538,0.9612022914092287,0.7134391880227184,0.8177560693842246,0.24386788441972276,0.24023227273324033,0.22853303074850911,0.12351775177758365,0.34767420794327536,0.2273682732146636,0.18258626473411219,0.26786461481661045,0.04360337393836761
Fresh vegetables,0.20903047320495446,0.16709985647895037,0.1551317029972026,0.2678592301179025,0.2833015270232881,0.14807738257173514,0.15662704506873124,0.2873678517665083,0.042513235997472205,0.4541298203789166,0.6977913784172589,1.0,0.5893538453808056,0.19667504597344965,0.18567454225904886,0.17688453435452892,0.040597547373111935,0.284473077541447,0.06367542728469786,0.10692275242411974,0.042674013232786835,0.028218628786344544,0.2214870761577802,0.16741044963754487,0.15917324159033264,0.31333201275824124,0.19859118133995193,0.11797345182773676,0.10034339061701612,0.2984918837977467,0.011455095452077154,0.43500438367277555,0.656008621107379,0.944850030887511,0.5047625672578623,0.18177044360514225,0.14321823350948085,0.18973464685991862,-0.0190333741368386,0.24948903870945133,0.02705338127508391,0.04721256166406498,0.07614490158784024,0.01779611017017056
Fruits and vegetables,0.5655466256928451,0.13181520287703935,0.5090205609303586,0.4916632618546172,0.34031761985005415,0.45492063763627505,0.5148592570375893,0.6157166792715677,0.35986235289103813,0.7715063778118649,0.8734496094843017,0.5893538453808056,1.0,0.26003445094379607,0.3513569327411971,0.43927120048697316,0.3850640841716341,0.5239161102150772,0.2689448821388264,0.4241404320664734,0.368712910522259,0.2554653480217085,0.5734277294310045,0.17071070512600509,0.5334141845780535,0.4058506991559982,0.2290627937928973,0.4622507216875644,0.43664205317488175,0.60302767291066,0.36314895386233204,0.6806881770516172,0.7738505026872923,0.5471180426165094,0.9581275780435036,0.2569679235002947,0.28942249843654916,0.4343976165725369,0.3584701410601924,0.5041081571671634,0.24297851654964214,0.3236150819177776,0.40465794131083666,0.24745884606161317
Meats,0.4289057444004426,0.9406143732747052,0.26538296793260835,0.46380425632332495,0.373962507507505,0.29785377439903354,0.47915409536793563,0.5120650764472023,0.14301970050769466,0.2139713918219611,0.2644499846623433,0.19667504597344965,0.26003445094379607,1.0,0.9617001140562607,0.17250520183090942,0.227962203153929,0.5021687571451228,0.7350397365382344,0.5459279960645956,0.03385080144971039,0.14040411450844748,0.528381808864859,0.8753015010328332,0.3362914641641697,0.44775873151265533,0.3806247016878943,0.3506940571092496,0.47343464971278815,0.6003250237919336,0.15191744299191856,0.21576958872712346,0.2638923960011203,0.21390241457919726,0.2527258031276309,0.920438117717127,0.9040378527603057,0.18083808212798536,0.2682645233801301,0.5468772183897594,0.6760307145840233,0.6232266946961221,0.10453991033786379,0.19734593545361775
"Meats, poultry, and fish",0.5788279047761271,0.8608363983482393,0.4131526805612412,0.578530526895232,0.4167585076467571,0.44097167852830377,0.6152068838702552,0.6498235911045501,0.2819765869234228,0.27501691969262293,0.30949507689689576,0.18567454225904886,0.3513569327411971,0.9617001140562607,1.0,0.3090348281555648,0.38902062987186675,0.6086131907743915,0.7693190079980938,0.7052934321195148,0.017200812298019636,0.23212694679684817,0.63948131168329,0.815636053346078,0.45213077029475773,0.5148573075640809,0.4054474497931647,0.46373505304319645,0.6004863169309916,0.6903354262232254,0.28572047692000546,0.25857562930286654,0.2927588374653713,0.20181322863214088,0.3201712395406318,0.8874822886795551,0.9391380066820855,0.2926976681757095,0.4017371051119553,0.6113851375634399,0.7041328893504689,0.7387907159608375,0.09110465913070216,0.2514855999842669
Nonalcoholic beverages,0.868967649452121,0.004368835274268709,0.8591578083210665,0.5868311336723162,0.39047928462319553,0.8261562344993914,0.4326491808451092,0.8281589969479948,0.8902202006853229,0.22266013331504256,0.22620379936355914,0.17688453435452892,0.43927120048697316,0.17250520183090942,0.3090348281555648,1.0,0.899575690771828,0.7240767703909589,0.1753084013766613,0.616789787283367,-0.02845154962668113,0.8569217712795858,0.795449949801694,0.06160136719988279,0.777170455882863,0.4232203469568395,0.2550844173165361,0.7074011207073634,0.3678500026563733,0.7174226177542044,0.8230253140564001,0.17005227364184308,0.17781752547262278,0.18276312074747844,0.3706950213334622,0.2172773793816839,0.2953570857702119,0.9470837066135893,0.8434580128047046,0.6183194690755485,0.1370119034429954,0.49658633191619533,0.09742512069175077,0.7460798843996075
Other foods,0.8912759705542348,0.0580472354496832,0.8960951149135562,0.5677726297864713,0.33147793357430394,0.8606139663114504,0.4979434668315122,0.8572042745025048,0.8504619057433954,0.16371369059326546,0.16441213962781892,0.040597547373111935,0.3850640841716341,0.227962203153929,0.38902062987186675,0.899575690771828,1.0,0.7350076409734538,0.24779601202217333,0.7569969779594841,-0.04318444131015971,0.8301984517126972,0.7759580935166192,0.110715069574842,0.7829206211208473,0.3619582083879633,0.2317457278454612,0.7281452707787565,0.4184705748536317,0.7076655418882869,0.7709905887216774,0.10412942759197832,0.11628087909465905,0.05110223061486519,0.3168548228246033,0.25736382903618066,0.35802439080926596,0.7953905397604646,0.9471171821436588,0.605235195641697,0.19716972504251273,0.6089538939339177,0.07958697538197639,0.7001034046959175
Other meats,0.8150913435458969,0.3462936031884456,0.691156029365442,0.5909267061682353,0.47528232682460886,0.7031704707042242,0.5698293095250128,0.8257271576411062,0.669994331914563,0.2984546557905323,0.3727218847692781,0.284473077541447,0.5239161102150772,0.5021687571451228,0.6086131907743915,0.7240767703909589,0.7350076409734538,1.0,0.3525671410516215,0.6862285527456636,0.026054614304242073,0.6551819986094485,0.7675255835582618,0.3321916183823989,0.6382644356643677,0.43075371206259666,0.37970983019273685,0.6009305519542252,0.47626363465490795,0.749234640709496,0.6265868662998821,0.216243104550433,0.31017049278040343,0.27537337203562867,0.43493637065621815,0.47000937204530313,0.5405290190312,0.6559810023126537,0.6812484334922908,0.9226745436609225,0.25346101241033886,0.5977800563899137,0.12423810143144402,0.596165205230385
Pork,0.43535806570260804,0.561793528018866,0.25532522519937134,0.49188311591765194,0.140194649147625,0.33975809157146075,0.6428975325689757,0.47182094362140187,0.16178096080774232,0.30047982588287564,0.2672697991328333,0.06367542728469786,0.2689448821388264,0.7350397365382344,0.7693190079980938,0.1753084013766613,0.24779601202217333,0.3525671410516215,1.0,0.5343446738871757,-0.0857624325682773,0.08341220517048722,0.4661029762588469,0.594842184336935,0.2723409734902858,0.4596547484826828,0.18971824219290684,0.39998273312586174,0.6253568872737444,0.49174447472743266,0.1380475951282834,0.2821803292027574,0.26516017727578156,0.09540662655444183,0.2563684136866866,0.7239183853494526,0.750242595319166,0.15473466258726182,0.22352449311316785,0.31526380508177365,0.9465570687485988,0.5465079239897448,-0.01337091259392755,0.1027387699507994
Poultry,0.8046561212207792,0.40763430241936294,0.7162541741546364,0.7130827494895443,0.42303819410749083,0.7228568695043399,0.5611033540367132,0.8271720620451387,0.6035312989769447,0.2490104585993408,0.279879151139542,0.10692275242411974,0.4241404320664734,0.5459279960645956,0.7052934321195148,0.616789787283367,0.7569969779594841,0.6862285527456636,0.5343446738871757,1.0,-0.022657267193061346,0.48781003339583107,0.755871826198331,0.45659118732224313,0.6617212343882406,0.5400202131013734,0.3588646113087488,0.657109622695035,0.5221414273806568,0.7494734747078126,0.5805493042410526,0.21471765142497903,0.2468870216534477,0.11867157173277529,0.37148056450675376,0.5615127163212276,0.6778969131020718,0.5427590308015788,0.7044553245808334,0.6064062372116455,0.4893330875668675,0.9250170060203416,0.0716920181074867,0.41062408980043474
Processed fruits and vegetables,0.04748103723863433,0.0414682362968759,0.15506433235724507,0.03340907090507865,0.08811604228859128,-0.015246378622680938,0.029011728835298758,0.10408234332501111,-0.05963174128258241,0.23508050615259013,0.25670166766273433,0.042674013232786835,0.368712910522259,0.03385080144971039,0.017200812298019636,-0.02845154962668113,-0.04318444131015971,0.026054614304242073,-0.0857624325682773,-0.022657267193061346,1.0,0.10110784162454127,0.14306504682876584,0.09589187787377738,0.26177390258169536,-0.060207924836854124,0.02270906444242433,0.04189127955621304,0.06897658745319257,0.20241704170214342,-0.031618933878712105,0.134446428075748,0.1781115486269021,-0.03671790791880206,0.3742251104868383,0.09097910663526891,0.07067512423292296,0.031662380870139846,0.01664764100219948,0.12663586250941364,0.002450526961601164,0.004125693635566052,0.9760536826457581,0.21750924685622347
Sugar and sweets,0.7481067602029678,0.01140982581443279,0.7972390112640102,0.38228904131195635,0.32074814804172264,0.7641817488976778,0.3506725012336249,0.7008858418478995,0.795726666452816,0.000959363667613072,0.03760774881730269,0.028218628786344544,0.2554653480217085,0.14040411450844748,0.23212694679684817,0.8569217712795858,0.8301984517126972,0.6551819986094485,0.08341220517048722,0.48781003339583107,0.10110784162454127,1.0,0.7109364824012044,0.09362911776762824,0.7413919339685643,0.1900617494572248,0.24889968417671987,0.6560078918619133,0.29727232708669077,0.6382842952861637,0.7132075353033089,-0.06349679258740391,0.008391464069845924,0.028231869625712405,0.22254181935811437,0.22210157718820636,0.26138794036983615,0.7987091100081606,0.8033326738781185,0.5856350817821203,0.07513185721058586,0.4096136114605458,0.230515122585874,0.9337320081480017
log_All food,0.9474210226496175,0.37259885837602286,0.8533567702923813,0.7229325292894728,0.554786981519384,0.7872735475019376,0.6346682414474554,0.9384757102896886,0.7856861279579268,0.38729237210849443,0.41040178246037934,0.2214870761577802,0.5734277294310045,0.528381808864859,0.63948131168329,0.795449949801694,0.7759580935166192,0.7675255835582618,0.4661029762588469,0.755871826198331,0.14306504682876584,0.7109364824012044,1.0,0.45890556813595346,0.8566240975268214,0.5808550252571449,0.5041925897741117,0.7444927561060107,0.5906998164024344,0.9658580807117753,0.7691127697372822,0.3248338601578978,0.3735885937984869,0.2375374634379335,0.5389061919058318,0.5967800882485585,0.6546943853408,0.7807697503221218,0.7688993218540338,0.747127238021887,0.4424621185101052,0.7248299901020971,0.2492277796924971,0.6938773874930855
log_Beef and veal,0.2962672132549721,0.9208396814149822,0.17121038965513743,0.32354305934066935,0.33808047030607513,0.15755926211887397,0.3542950557276925,0.3837358610262101,0.03361358710945905,0.1425240266595808,0.1955760479291986,0.16741044963754487,0.17071070512600509,0.8753015010328332,0.815636053346078,0.06160136719988279,0.110715069574842,0.3321916183823989,0.594842184336935,0.45659118732224313,0.09589187787377738,0.09362911776762824,0.45890556813595346,1.0,0.2893560109159202,0.3390554606553037,0.3871804146945342,0.22363883036041626,0.38583380067715656,0.5547055326870671,0.0641995383049649,0.14981665197548436,0.21210103307903522,0.19015504075857806,0.19823844256171236,0.9415520478802232,0.8852457374302223,0.10809616789310157,0.18593011188956562,0.42003870256443954,0.5977546919851335,0.6053762335829742,0.15211896113020837,0.20378938526576612
log_Cereals and bakery products,0.836409501023048,0.20380902529018144,0.9405438451912927,0.5809060966437084,0.4097552332261995,0.8048350571947666,0.5289459815161764,0.8445758843309865,0.7204263695610961,0.2731201629895648,0.3231167622889962,0.15917324159033264,0.5334141845780535,0.3362914641641697,0.45213077029475773,0.777170455882863,0.7829206211208473,0.6382644356643677,0.2723409734902858,0.6617212343882406,0.26177390258169536,0.7413919339685643,0.8566240975268214,0.2893560109159202,1.0,0.40472847267738776,0.33071745111885664,0.7791632120728836,0.48979541898225387,0.8331457045408173,0.7009603189954765,0.2082812301479948,0.2763985670275901,0.15781343833938946,0.5033189722960574,0.40601844334453013,0.4775636000392447,0.7675928236246153,0.8122286928736094,0.6092975731012438,0.2695514571277607,0.6244408935995852,0.377810740660281,0.7123392578589149
log_Dairy products,0.5881197953484447,0.33535987793057886,0.4667640767194431,0.9264611534526647,0.5397798847879157,0.5200344984540252,0.329224976153338,0.6360294373720226,0.3824583328352482,0.47768361098199896,0.4134461251488612,0.31333201275824124,0.4058506991559982,0.44775873151265533,0.5148573075640809,0.4232203469568395,0.3619582083879633,0.43075371206259666,0.4596547484826828,0.5400202131013734,-0.060207924836854124,0.1900617494572248,0.5808550252571449,0.3390554606553037,0.40472847267738776,1.0,0.49105162265785923,0.45905574503551494,0.3202992609867602,0.6004044693641982,0.34947988798518337,0.5469177845423513,0.4307450454113537,0.39514862690436237,0.33959741811406635,0.4350538490682879,0.4926206530970704,0.3714354326363809,0.29810400712409435,0.38246630086806066,0.4286772360893518,0.4868677026741023,0.007953641683475017,0.17346232402151898
log_Eggs,0.4293305946408946,0.3464316852517334,0.33519404417740895,0.4792160593247864,0.8988826148372793,0.3130467890054463,0.23512643472345265,0.49195614240049157,0.22619159715475287,0.26510318044089987,0.218206224700159,0.19859118133995193,0.2290627937928973,0.3806247016878943,0.4054474497931647,0.2550844173165361,0.2317457278454612,0.37970983019273685,0.18971824219290684,0.3588646113087488,0.02270906444242433,0.24889968417671987,0.5041925897741117,0.3871804146945342,0.33071745111885664,0.49105162265785923,1.0,0.2608011777673666,0.22476763934429603,0.5732183645005031,0.18729448291675094,0.27540361507775457,0.22761505657942321,0.24505214294672667,0.1940201997003577,0.4328575503507205,0.4395195373617652,0.2081134182944959,0.203890844356665,0.38570551969612027,0.17730518197591727,0.366723827247632,0.05669832210258039,0.2722515592021685
log_Fats and oils,0.757222397976821,0.18406224721022174,0.7934750116750104,0.620833742404385,0.3441997740186951,0.9358541948919186,0.5273642773376666,0.7646365528518058,0.6622884029143508,0.24867430328142107,0.24891526638468697,0.11797345182773676,0.4622507216875644,0.3506940571092496,0.46373505304319645,0.7074011207073634,0.7281452707787565,0.6009305519542252,0.39998273312586174,0.657109622695035,0.04189127955621304,0.6560078918619133,0.7444927561060107,0.22363883036041626,0.7791632120728836,0.45905574503551494,0.2608011777673666,1.0,0.4677960834875717,0.7201106298073213,0.6233019451368483,0.2245404421677213,0.21481647021177047,0.11409989493591836,0.46034634168422034,0.37042670427408264,0.4370835758414756,0.6816491175636628,0.7391452472221396,0.5479030478870827,0.3794295216874381,0.6170701579201506,0.15946471672883727,0.5956931173767
log_Fish and seafood,0.5631927278601707,0.3120741911159492,0.47871587683776995,0.4505225214559794,0.2325867747801201,0.45809440311295346,0.9639568046474833,0.5679390456183945,0.37082922859635425,0.3661483911984657,0.31734033250797683,0.10034339061701612,0.43664205317488175,0.47343464971278815,0.6004863169309916,0.3678500026563733,0.4184705748536317,0.47626363465490795,0.6253568872737444,0.5221414273806568,0.06897658745319257,0.29727232708669077,0.5906998164024344,0.38583380067715656,0.48979541898225387,0.3202992609867602,0.22476763934429603,0.4677960834875717,1.0,0.5630114774365067,0.4068727710750508,0.27350997074645983,0.25620111983049304,0.07631822153048369,0.3896452286349932,0.5121240035705006,0.6466365342184932,0.3810252484343874,0.43366938571729524,0.4541433952960994,0.6266771166655344,0.5286913645486696,0.10549706235177493,0.278541293600059
log_Food at home,0.8865129773926587,0.46201541391492756,0.8085816916335876,0.7261873151835617,0.6047856561512149,0.7484442876143006,0.6054554204739216,0.9339545535503663,0.6486136045181484,0.40304912831616496,0.44969032898040623,0.2984918837977467,0.60302767291066,0.6003250237919336,0.6903354262232254,0.7174226177542044,0.7076655418882869,0.749234640709496,0.49174447472743266,0.7494734747078126,0.20241704170214342,0.6382842952861637,0.9658580807117753,0.5547055326870671,0.8331457045408173,0.6004044693641982,0.5732183645005031,0.7201106298073213,0.5630114774365067,1.0,0.6220211671392436,0.3446150413265386,0.40907923396138934,0.3065528089309086,0.5697320420452517,0.676458282240158,0.7118062101901353,0.7027026892688312,0.7079514867030934,0.7449562076201516,0.4670196378938278,0.734400637565482,0.31195593678791733,0.6384884008720945
log_Food away from home,0.8031871489817829,0.021300192398014287,0.7559057749730196,0.5015933911242755,0.30279542160485,0.7025075741983386,0.44323468832728935,0.6980311994537579,0.9611920782495578,0.2264931889445221,0.194600730754687,0.011455095452077154,0.36314895386233204,0.15191744299191856,0.28572047692000546,0.8230253140564001,0.7709905887216774,0.6265868662998821,0.1380475951282834,0.5805493042410526,-0.031618933878712105,0.7132075353033089,0.7691127697372822,0.0641995383049649,0.7009603189954765,0.34947988798518337,0.18729448291675094,0.6233019451368483,0.4068727710750508,0.6220211671392436,1.0,0.1721637488673077,0.1747025203496902,0.04000006586703988,0.3332952156107517,0.18745257157613382,0.27696053082084854,0.8020957469349337,0.7577024102072699,0.5864414069448602,0.10580868014039566,0.5200450017268406,0.03742027039035197,0.6190130439045531
log_Fresh fruits,0.3229554162835711,0.13514001655497326,0.21325113922071057,0.4609475636564815,0.32625639697881936,0.20930291132170403,0.322663554530764,0.3556720652560746,0.16536938438428772,0.9511553295741374,0.72189687039538,0.43500438367277555,0.6806881770516172,0.21576958872712346,0.25857562930286654,0.17005227364184308,0.10412942759197832,0.216243104550433,0.2821803292027574,0.21471765142497903,0.134446428075748,-0.06349679258740391,0.3248338601578978,0.14981665197548436,0.2082812301479948,0.5469177845423513,0.27540361507775457,0.2245404421677213,0.27350997074645983,0.3446150413265386,0.1721637488673077,1.0,0.7190970979787393,0.48905945702680353,0.6441702764843608,0.18833690222018173,0.20060955157484453,0.16817787642980045,0.06080225101637803,0.1970106713582989,0.2518760501331594,0.13977521573747234,0.13782178456064234,-0.06301309475435467
log_Fresh fruits and vegetables,0.3485328906070237,0.19322662776447497,0.2546186170899652,0.41201443284254513,0.3019320039806884,0.21439138652759976,0.3218671593110756,0.39418872785086984,0.16585431329669217,0.7355339956063351,0.9612022914092287,0.656008621107379,0.7738505026872923,0.2638923960011203,0.2927588374653713,0.17781752547262278,0.11628087909465905,0.31017049278040343,0.26516017727578156,0.2468870216534477,0.1781115486269021,0.008391464069845924,0.3735885937984869,0.21210103307903522,0.2763985670275901,0.4307450454113537,0.22761505657942321,0.21481647021177047,0.25620111983049304,0.40907923396138934,0.1747025203496902,0.7190970979787393,1.0,0.7400454479604556,0.7487867171080158,0.24862629792230023,0.23494282325390728,0.17433608615950147,0.07655784530144756,0.29365360066865953,0.23368595156852878,0.1707117444226758,0.1862508311395339,0.005876089387514211
