consumer_price_index_item,month_of_forecast,year_of_forecast,year_being_forecast,attribute,forecast_percent_change
Beef and veal,November,2002,2003,Mid point of prediction interval,-0.3
Beef and veal,November,2002,2003,Upper bound of prediction interval,5.3
Beef and veal,December,2002,2003,Lower bound of prediction interval,-4.6
Beef and veal,December,2002,2003,Mid point of prediction interval,0.2
Beef and veal,December,2002,2003,Upper bound of prediction interval,5.3
Other meats,September,2002,2003,Mid point of prediction interval,2.1
Pork,July,2002,2003,Lower bound of prediction interval,-10.2
Pork,July,2002,2003,Upper bound of prediction interval,11.5
Pork,August,2002,2003,Lower bound of prediction interval,-9.7
Pork,August,2002,2003,Mid point of prediction interval,0.0
Pork,August,2002,2003,Upper bound of prediction interval,10.9
Pork,September,2002,2003,Lower bound of prediction interval,-8.4
Pork,September,2002,2003,Mid point of prediction interval,0.7
Pork,July,2002,2003,Mid point of prediction interval,-0.1
Fruits and vegetables,August,2002,2003,Lower bound of prediction interval,-2.1
Other meats,September,2002,2003,Upper bound of prediction interval,5.7
Other meats,October,2002,2003,Mid point of prediction interval,2.6
Fish and seafood,August,2002,2003,Upper bound of prediction interval,5.1
Fish and seafood,August,2002,2003,Mid point of prediction interval,1.7
Fish and seafood,August,2002,2003,Lower bound of prediction interval,-1.7
Fish and seafood,July,2002,2003,Upper bound of prediction interval,5.0
Fish and seafood,July,2002,2003,Mid point of prediction interval,1.5
Fish and seafood,July,2002,2003,Lower bound of prediction interval,-2.1
Poultry,December,2002,2003,Upper bound of prediction interval,5.7
Poultry,December,2002,2003,Mid point of prediction interval,0.3
Poultry,December,2002,2003,Lower bound of prediction interval,-4.6
Poultry,November,2002,2003,Upper bound of prediction interval,5.5
Poultry,November,2002,2003,Mid point of prediction interval,-0.2
Poultry,November,2002,2003,Lower bound of prediction interval,-5.6
Poultry,October,2002,2003,Upper bound of prediction interval,6.6
Poultry,October,2002,2003,Mid point of prediction interval,0.4
Poultry,October,2002,2003,Lower bound of prediction interval,-5.4
Poultry,September,2002,2003,Upper bound of prediction interval,7.0
Poultry,September,2002,2003,Mid point of prediction interval,0.5
Other meats,October,2002,2003,Upper bound of prediction interval,5.9
Other meats,November,2002,2003,Lower bound of prediction interval,-0.1
Other meats,November,2002,2003,Mid point of prediction interval,2.8
Other meats,November,2002,2003,Upper bound of prediction interval,5.9
Other meats,December,2002,2003,Lower bound of prediction interval,0.2
Other meats,December,2002,2003,Mid point of prediction interval,3.0
Other meats,October,2002,2003,Lower bound of prediction interval,-0.6
Other meats,December,2002,2003,Upper bound of prediction interval,5.8
Poultry,July,2002,2003,Mid point of prediction interval,-0.6
Poultry,July,2002,2003,Upper bound of prediction interval,6.7
Poultry,August,2002,2003,Lower bound of prediction interval,-6.4
Poultry,August,2002,2003,Mid point of prediction interval,0.1
Poultry,August,2002,2003,Upper bound of prediction interval,7.1
Poultry,September,2002,2003,Lower bound of prediction interval,-5.5
Poultry,July,2002,2003,Lower bound of prediction interval,-7.2
Fruits and vegetables,August,2002,2003,Mid point of prediction interval,2.4
Fruits and vegetables,August,2002,2003,Upper bound of prediction interval,7.2
Fruits and vegetables,September,2002,2003,Lower bound of prediction interval,-1.7
Nonalcoholic beverages,July,2002,2003,Lower bound of prediction interval,-8.3
Cereals and bakery products,December,2002,2003,Upper bound of prediction interval,2.9
Cereals and bakery products,December,2002,2003,Mid point of prediction interval,1.2
Cereals and bakery products,December,2002,2003,Lower bound of prediction interval,-0.6
Cereals and bakery products,November,2002,2003,Upper bound of prediction interval,3.5
Cereals and bakery products,November,2002,2003,Mid point of prediction interval,1.6
Cereals and bakery products,November,2002,2003,Lower bound of prediction interval,-0.4
Cereals and bakery products,October,2002,2003,Upper bound of prediction interval,3.5
Cereals and bakery products,October,2002,2003,Mid point of prediction interval,1.3
Cereals and bakery products,October,2002,2003,Lower bound of prediction interval,-0.8
Cereals and bakery products,September,2002,2003,Upper bound of prediction interval,4.3
Cereals and bakery products,September,2002,2003,Mid point of prediction interval,2.0
Cereals and bakery products,September,2002,2003,Lower bound of prediction interval,-0.3
Cereals and bakery products,August,2002,2003,Upper bound of prediction interval,4.2
Cereals and bakery products,August,2002,2003,Mid point of prediction interval,1.7
Cereals and bakery products,August,2002,2003,Lower bound of prediction interval,-0.7
Cereals and bakery products,July,2002,2003,Upper bound of prediction interval,4.6
Sugar and sweets,September,2002,2003,Lower bound of prediction interval,-0.5
Sugar and sweets,September,2002,2003,Mid point of prediction interval,1.7
Sugar and sweets,September,2002,2003,Upper bound of prediction interval,4.0
Sugar and sweets,October,2002,2003,Lower bound of prediction interval,-0.1
Sugar and sweets,October,2002,2003,Mid point of prediction interval,2.0
Sugar and sweets,October,2002,2003,Upper bound of prediction interval,4.3
Nonalcoholic beverages,July,2002,2003,Mid point of prediction interval,-1.1
Sugar and sweets,November,2002,2003,Lower bound of prediction interval,-0.1
Sugar and sweets,November,2002,2003,Upper bound of prediction interval,3.9
Sugar and sweets,December,2002,2003,Lower bound of prediction interval,-0.5
Sugar and sweets,December,2002,2003,Mid point of prediction interval,1.4
Sugar and sweets,December,2002,2003,Upper bound of prediction interval,3.3
Cereals and bakery products,July,2002,2003,Lower bound of prediction interval,-0.7
Cereals and bakery products,July,2002,2003,Mid point of prediction interval,1.8
Sugar and sweets,November,2002,2003,Mid point of prediction interval,1.9
Sugar and sweets,August,2002,2003,Upper bound of prediction interval,4.4
Nonalcoholic beverages,July,2002,2003,Upper bound of prediction interval,6.8
Nonalcoholic beverages,August,2002,2003,Mid point of prediction interval,-0.6
Other foods,December,2002,2003,Upper bound of prediction interval,3.0
Other foods,December,2002,2003,Mid point of prediction interval,1.3
Other foods,December,2002,2003,Lower bound of prediction interval,-0.5
Other foods,November,2002,2003,Upper bound of prediction interval,2.7
Other foods,November,2002,2003,Mid point of prediction interval,0.7
Other foods,November,2002,2003,Lower bound of prediction interval,-1.2
Other foods,October,2002,2003,Upper bound of prediction interval,3.1
Other foods,October,2002,2003,Mid point of prediction interval,0.9
Other foods,October,2002,2003,Lower bound of prediction interval,-1.2
Other foods,September,2002,2003,Upper bound of prediction interval,3.3
Other foods,September,2002,2003,Mid point of prediction interval,1.0
Other foods,September,2002,2003,Lower bound of prediction interval,-1.3
Other foods,August,2002,2003,Upper bound of prediction interval,3.4
Other foods,August,2002,2003,Mid point of prediction interval,0.9
Other foods,August,2002,2003,Lower bound of prediction interval,-1.5
Other foods,July,2002,2003,Upper bound of prediction interval,3.9
Other foods,July,2002,2003,Mid point of prediction interval,1.2
Nonalcoholic beverages,August,2002,2003,Upper bound of prediction interval,6.8
Nonalcoholic beverages,September,2002,2003,Lower bound of prediction interval,-7.4
Nonalcoholic beverages,September,2002,2003,Mid point of prediction interval,-1.0
Nonalcoholic beverages,September,2002,2003,Upper bound of prediction interval,5.9
Nonalcoholic beverages,October,2002,2003,Lower bound of prediction interval,-4.3
Nonalcoholic beverages,October,2002,2003,Mid point of prediction interval,1.9
Nonalcoholic beverages,August,2002,2003,Lower bound of prediction interval,-7.5
Nonalcoholic beverages,October,2002,2003,Upper bound of prediction interval,8.6
Nonalcoholic beverages,November,2002,2003,Mid point of prediction interval,0.8
Nonalcoholic beverages,November,2002,2003,Upper bound of prediction interval,6.8
Nonalcoholic beverages,December,2002,2003,Lower bound of prediction interval,-4.8
Nonalcoholic beverages,December,2002,2003,Mid point of prediction interval,0.3
Nonalcoholic beverages,December,2002,2003,Upper bound of prediction interval,5.9
Other foods,July,2002,2003,Lower bound of prediction interval,-1.4
Nonalcoholic beverages,November,2002,2003,Lower bound of prediction interval,-4.8
Beef and veal,October,2002,2003,Upper bound of prediction interval,5.6
Sugar and sweets,August,2002,2003,Mid point of prediction interval,2.0
Sugar and sweets,July,2002,2003,Upper bound of prediction interval,4.0
Fresh fruits,July,2002,2003,Upper bound of prediction interval,20.2
Fresh fruits,July,2002,2003,Mid point of prediction interval,-0.1
Fresh fruits,July,2002,2003,Lower bound of prediction interval,-17.0
Fresh fruits and vegetables,December,2002,2003,Upper bound of prediction interval,9.4
Fresh fruits and vegetables,December,2002,2003,Mid point of prediction interval,3.6
Fresh fruits and vegetables,December,2002,2003,Lower bound of prediction interval,-1.9
Fresh fruits and vegetables,November,2002,2003,Upper bound of prediction interval,17.1
Fresh fruits and vegetables,November,2002,2003,Mid point of prediction interval,-1.0
Fresh fruits and vegetables,November,2002,2003,Lower bound of prediction interval,-16.5
Fresh fruits and vegetables,October,2002,2003,Upper bound of prediction interval,17.3
Fresh fruits and vegetables,October,2002,2003,Mid point of prediction interval,-1.9
Fresh fruits and vegetables,October,2002,2003,Lower bound of prediction interval,-18.2
Fresh fruits and vegetables,September,2002,2003,Upper bound of prediction interval,20.9
Fresh fruits and vegetables,September,2002,2003,Mid point of prediction interval,-0.1
Fresh fruits and vegetables,September,2002,2003,Lower bound of prediction interval,-17.3
Fresh fruits and vegetables,August,2002,2003,Upper bound of prediction interval,10.2
Fresh fruits and vegetables,August,2002,2003,Mid point of prediction interval,4.1
Fruits and vegetables,September,2002,2003,Mid point of prediction interval,2.7
Fruits and vegetables,September,2002,2003,Upper bound of prediction interval,7.4
Fruits and vegetables,October,2002,2003,Lower bound of prediction interval,-1.5
Fruits and vegetables,October,2002,2003,Mid point of prediction interval,2.8
Fruits and vegetables,October,2002,2003,Upper bound of prediction interval,7.4
Fruits and vegetables,November,2002,2003,Lower bound of prediction interval,-1.3
Fresh fruits,August,2002,2003,Lower bound of prediction interval,-20.1
Fruits and vegetables,November,2002,2003,Mid point of prediction interval,2.9
Fruits and vegetables,December,2002,2003,Lower bound of prediction interval,-1.3
Fruits and vegetables,December,2002,2003,Mid point of prediction interval,2.8
Fruits and vegetables,December,2002,2003,Upper bound of prediction interval,7.0
Fresh fruits and vegetables,July,2002,2003,Mid point of prediction interval,2.3
Fresh fruits and vegetables,July,2002,2003,Upper bound of prediction interval,8.3
Fresh fruits and vegetables,August,2002,2003,Lower bound of prediction interval,-1.8
Fruits and vegetables,November,2002,2003,Upper bound of prediction interval,7.3
Sugar and sweets,August,2002,2003,Lower bound of prediction interval,-0.4
Fresh fruits,August,2002,2003,Mid point of prediction interval,-4.8
Fresh fruits,September,2002,2003,Lower bound of prediction interval,-15.6
Sugar and sweets,July,2002,2003,Mid point of prediction interval,1.5
Sugar and sweets,July,2002,2003,Lower bound of prediction interval,-1.0
Fresh vegetables,December,2002,2003,Upper bound of prediction interval,11.5
Fresh vegetables,December,2002,2003,Mid point of prediction interval,-0.4
Fresh vegetables,December,2002,2003,Lower bound of prediction interval,-11.1
Fresh vegetables,November,2002,2003,Upper bound of prediction interval,11.6
Fresh vegetables,November,2002,2003,Mid point of prediction interval,-1.1
Fresh vegetables,November,2002,2003,Lower bound of prediction interval,-12.4
Fresh vegetables,October,2002,2003,Upper bound of prediction interval,12.1
Fresh vegetables,October,2002,2003,Mid point of prediction interval,-1.3
Fresh vegetables,October,2002,2003,Lower bound of prediction interval,-12.9
Fresh vegetables,September,2002,2003,Upper bound of prediction interval,13.9
Fresh vegetables,September,2002,2003,Mid point of prediction interval,-0.5
Fresh vegetables,September,2002,2003,Lower bound of prediction interval,-12.9
Fresh vegetables,August,2002,2003,Upper bound of prediction interval,15.1
Fresh vegetables,August,2002,2003,Mid point of prediction interval,0.4
Fresh vegetables,August,2002,2003,Lower bound of prediction interval,-12.7
Fresh fruits,September,2002,2003,Mid point of prediction interval,0.0
Fresh fruits,September,2002,2003,Upper bound of prediction interval,18.1
Fresh fruits,October,2002,2003,Lower bound of prediction interval,-13.7
Fresh fruits,October,2002,2003,Mid point of prediction interval,1.1
Fresh fruits,October,2002,2003,Upper bound of prediction interval,18.6
Fresh fruits,November,2002,2003,Lower bound of prediction interval,-12.3
Fresh fruits,August,2002,2003,Upper bound of prediction interval,14.1
Fresh fruits,November,2002,2003,Mid point of prediction interval,1.2
Fresh fruits,December,2002,2003,Lower bound of prediction interval,-11.9
Fresh fruits,December,2002,2003,Mid point of prediction interval,0.8
Fresh fruits,December,2002,2003,Upper bound of prediction interval,15.5
Fresh vegetables,July,2002,2003,Lower bound of prediction interval,-14.9
Fresh vegetables,July,2002,2003,Mid point of prediction interval,-1.6
Fresh vegetables,July,2002,2003,Upper bound of prediction interval,13.3
Fresh fruits,November,2002,2003,Upper bound of prediction interval,17.6
Beef and veal,October,2002,2003,Mid point of prediction interval,-0.6
Fresh fruits and vegetables,July,2002,2003,Lower bound of prediction interval,-3.5
Beef and veal,September,2002,2003,Upper bound of prediction interval,6.9
"Meats, poultry, and fish",October,2002,2003,Mid point of prediction interval,1.2
"Meats, poultry, and fish",October,2002,2003,Lower bound of prediction interval,-2.5
"Meats, poultry, and fish",September,2002,2003,Upper bound of prediction interval,5.5
"Meats, poultry, and fish",September,2002,2003,Mid point of prediction interval,1.3
"Meats, poultry, and fish",September,2002,2003,Lower bound of prediction interval,-2.6
"Meats, poultry, and fish",August,2002,2003,Upper bound of prediction interval,5.4
"Meats, poultry, and fish",August,2002,2003,Mid point of prediction interval,0.9
"Meats, poultry, and fish",August,2002,2003,Lower bound of prediction interval,-3.3
"Meats, poultry, and fish",October,2002,2003,Upper bound of prediction interval,5.1
"Meats, poultry, and fish",July,2002,2003,Upper bound of prediction interval,6.1
"Meats, poultry, and fish",July,2002,2003,Lower bound of prediction interval,-3.1
Food at home,December,2002,2003,Upper bound of prediction interval,3.8
Food at home,December,2002,2003,Mid point of prediction interval,1.4
Food at home,December,2002,2003,Lower bound of prediction interval,-1.0
Food at home,November,2002,2003,Upper bound of prediction interval,4.1
Food at home,November,2002,2003,Mid point of prediction interval,1.3
Food at home,November,2002,2003,Lower bound of prediction interval,-1.3
Food at home,October,2002,2003,Upper bound of prediction interval,4.3
"Meats, poultry, and fish",July,2002,2003,Mid point of prediction interval,1.4
"Meats, poultry, and fish",November,2002,2003,Lower bound of prediction interval,-2.7
"Meats, poultry, and fish",November,2002,2003,Mid point of prediction interval,0.7
"Meats, poultry, and fish",November,2002,2003,Upper bound of prediction interval,4.2
Meats,December,2002,2003,Lower bound of prediction interval,-4.9
Meats,November,2002,2003,Upper bound of prediction interval,4.0
Meats,November,2002,2003,Mid point of prediction interval,-1.2
Meats,November,2002,2003,Lower bound of prediction interval,-6.3
Meats,October,2002,2003,Upper bound of prediction interval,5.4
Meats,October,2002,2003,Mid point of prediction interval,-0.4
Meats,October,2002,2003,Lower bound of prediction interval,-6.0
Meats,September,2002,2003,Upper bound of prediction interval,7.3
Meats,September,2002,2003,Mid point of prediction interval,0.8
Meats,September,2002,2003,Lower bound of prediction interval,-5.5
Meats,August,2002,2003,Upper bound of prediction interval,6.9
Meats,August,2002,2003,Mid point of prediction interval,-0.2
Meats,August,2002,2003,Lower bound of prediction interval,-6.9
Meats,July,2002,2003,Upper bound of prediction interval,8.4
Meats,July,2002,2003,Mid point of prediction interval,0.6
Meats,July,2002,2003,Lower bound of prediction interval,-6.7
"Meats, poultry, and fish",December,2002,2003,Upper bound of prediction interval,4.1
"Meats, poultry, and fish",December,2002,2003,Mid point of prediction interval,0.9
"Meats, poultry, and fish",December,2002,2003,Lower bound of prediction interval,-2.1
Food at home,October,2002,2003,Mid point of prediction interval,1.4
Food at home,October,2002,2003,Lower bound of prediction interval,-1.5
Food at home,September,2002,2003,Upper bound of prediction interval,4.5
Food at home,September,2002,2003,Mid point of prediction interval,1.5
Food away from home,July,2002,2003,Upper bound of prediction interval,3.6
Food away from home,July,2002,2003,Mid point of prediction interval,1.8
Food away from home,July,2002,2003,Lower bound of prediction interval,0.1
All food,December,2002,2003,Upper bound of prediction interval,3.5
All food,December,2002,2003,Mid point of prediction interval,1.9
All food,December,2002,2003,Lower bound of prediction interval,0.3
All food,November,2002,2003,Upper bound of prediction interval,3.6
All food,November,2002,2003,Mid point of prediction interval,1.9
All food,November,2002,2003,Lower bound of prediction interval,0.2
All food,October,2002,2003,Upper bound of prediction interval,3.7
All food,October,2002,2003,Mid point of prediction interval,1.8
All food,October,2002,2003,Lower bound of prediction interval,0.0
All food,September,2002,2003,Upper bound of prediction interval,3.8
All food,September,2002,2003,Mid point of prediction interval,1.8
All food,September,2002,2003,Lower bound of prediction interval,-0.2
All food,August,2002,2003,Upper bound of prediction interval,4.0
All food,August,2002,2003,Mid point of prediction interval,1.8
All food,August,2002,2003,Lower bound of prediction interval,-0.2
All food,July,2002,2003,Upper bound of prediction interval,4.1
Food away from home,August,2002,2003,Lower bound of prediction interval,0.5
Meats,December,2002,2003,Mid point of prediction interval,-0.6
Food away from home,August,2002,2003,Mid point of prediction interval,2.0
Food away from home,September,2002,2003,Lower bound of prediction interval,0.5
Food at home,September,2002,2003,Lower bound of prediction interval,-1.5
Food at home,August,2002,2003,Upper bound of prediction interval,4.8
Food at home,August,2002,2003,Mid point of prediction interval,1.5
Food at home,August,2002,2003,Lower bound of prediction interval,-1.7
Food at home,July,2002,2003,Upper bound of prediction interval,5.0
Food at home,July,2002,2003,Mid point of prediction interval,1.6
Food at home,July,2002,2003,Lower bound of prediction interval,-1.8
Beef and veal,October,2002,2003,Lower bound of prediction interval,-6.2
Food away from home,December,2002,2003,Upper bound of prediction interval,3.2
Food away from home,December,2002,2003,Mid point of prediction interval,2.2
Food away from home,December,2002,2003,Lower bound of prediction interval,1.2
Food away from home,November,2002,2003,Upper bound of prediction interval,3.3
Food away from home,November,2002,2003,Mid point of prediction interval,2.2
Food away from home,November,2002,2003,Lower bound of prediction interval,1.0
Food away from home,October,2002,2003,Upper bound of prediction interval,3.4
Food away from home,October,2002,2003,Mid point of prediction interval,2.2
Food away from home,October,2002,2003,Lower bound of prediction interval,0.9
Food away from home,September,2002,2003,Upper bound of prediction interval,3.4
Food away from home,September,2002,2003,Mid point of prediction interval,2.0
Food away from home,August,2002,2003,Upper bound of prediction interval,3.6
Meats,December,2002,2003,Upper bound of prediction interval,4.1
All food,July,2002,2003,Mid point of prediction interval,1.9
Beef and veal,September,2002,2003,Lower bound of prediction interval,-6.0
Beef and veal,July,2002,2003,Mid point of prediction interval,-0.6
Beef and veal,July,2002,2003,Upper bound of prediction interval,7.1
Beef and veal,August,2002,2003,Lower bound of prediction interval,-6.8
Beef and veal,August,2002,2003,Mid point of prediction interval,-0.3
Beef and veal,August,2002,2003,Upper bound of prediction interval,6.7
Beef and veal,September,2002,2003,Mid point of prediction interval,0.2
Beef and veal,July,2002,2003,Lower bound of prediction interval,-7.4
All food,July,2003,2004,Upper bound of prediction interval,3.9
All food,July,2003,2004,Mid point of prediction interval,2.0
All food,July,2003,2004,Lower bound of prediction interval,0.2
Other foods,December,2003,2003,Upper bound of prediction interval,1.0
Other foods,December,2003,2003,Mid point of prediction interval,0.9
Other foods,December,2003,2003,Lower bound of prediction interval,0.7
Pork,October,2003,2003,Upper bound of prediction interval,3.2
All food,August,2003,2004,Lower bound of prediction interval,0.1
Other foods,November,2003,2003,Mid point of prediction interval,1.0
Other foods,November,2003,2003,Lower bound of prediction interval,0.8
Other foods,October,2003,2003,Upper bound of prediction interval,1.3
Other foods,October,2003,2003,Mid point of prediction interval,1.1
Other foods,November,2003,2003,Upper bound of prediction interval,1.1
All food,August,2003,2004,Mid point of prediction interval,1.9
All food,September,2003,2004,Upper bound of prediction interval,3.8
All food,September,2003,2004,Lower bound of prediction interval,0.4
All food,September,2003,2004,Mid point of prediction interval,2.1
Other foods,October,2003,2003,Lower bound of prediction interval,0.8
All food,October,2003,2004,Lower bound of prediction interval,0.5
All food,October,2003,2004,Mid point of prediction interval,2.1
All food,October,2003,2004,Upper bound of prediction interval,3.7
All food,November,2003,2004,Lower bound of prediction interval,1.2
All food,November,2003,2004,Mid point of prediction interval,2.6
All food,November,2003,2004,Upper bound of prediction interval,4.1
All food,December,2003,2004,Lower bound of prediction interval,1.4
All food,December,2003,2004,Mid point of prediction interval,2.8
All food,December,2003,2004,Upper bound of prediction interval,4.2
Food away from home,July,2003,2004,Lower bound of prediction interval,0.2
All food,August,2003,2004,Upper bound of prediction interval,3.8
Other foods,September,2003,2003,Upper bound of prediction interval,1.5
Other foods,August,2003,2003,Lower bound of prediction interval,0.7
Other foods,September,2003,2003,Lower bound of prediction interval,0.8
Beef and veal,February,2003,2003,Lower bound of prediction interval,-2.8
Beef and veal,January,2003,2003,Upper bound of prediction interval,4.6
Beef and veal,January,2003,2003,Mid point of prediction interval,0.6
Beef and veal,January,2003,2003,Lower bound of prediction interval,-3.1
Other foods,January,2003,2003,Lower bound of prediction interval,0.0
Other foods,January,2003,2003,Mid point of prediction interval,1.4
Other foods,January,2003,2003,Upper bound of prediction interval,2.9
Other foods,February,2003,2003,Lower bound of prediction interval,0.0
Other foods,February,2003,2003,Mid point of prediction interval,1.3
Other foods,February,2003,2003,Upper bound of prediction interval,2.6
Other foods,March,2003,2003,Lower bound of prediction interval,-0.1
Other foods,March,2003,2003,Mid point of prediction interval,1.0
Other foods,March,2003,2003,Upper bound of prediction interval,2.1
Other foods,September,2003,2003,Mid point of prediction interval,1.1
Other foods,April,2003,2003,Lower bound of prediction interval,0.2
Other foods,April,2003,2003,Upper bound of prediction interval,2.1
Other foods,May,2003,2003,Lower bound of prediction interval,0.3
Other foods,May,2003,2003,Mid point of prediction interval,1.1
Other foods,May,2003,2003,Upper bound of prediction interval,1.9
Other foods,June,2003,2003,Lower bound of prediction interval,0.1
Other foods,June,2003,2003,Mid point of prediction interval,0.8
Other foods,June,2003,2003,Upper bound of prediction interval,1.5
Other foods,July,2003,2003,Lower bound of prediction interval,0.7
Other foods,July,2003,2003,Mid point of prediction interval,1.3
Other foods,July,2003,2003,Upper bound of prediction interval,1.8
Food away from home,July,2003,2004,Mid point of prediction interval,1.7
Other foods,August,2003,2003,Mid point of prediction interval,1.1
Other foods,August,2003,2003,Upper bound of prediction interval,1.5
Other foods,April,2003,2003,Mid point of prediction interval,1.2
Food away from home,July,2003,2004,Upper bound of prediction interval,3.2
Food away from home,August,2003,2004,Lower bound of prediction interval,0.6
Food away from home,August,2003,2004,Mid point of prediction interval,2.0
Meats,July,2003,2004,Lower bound of prediction interval,-4.0
"Meats, poultry, and fish",December,2003,2004,Upper bound of prediction interval,18.5
"Meats, poultry, and fish",December,2003,2004,Mid point of prediction interval,12.9
"Meats, poultry, and fish",December,2003,2004,Lower bound of prediction interval,7.7
"Meats, poultry, and fish",November,2003,2004,Upper bound of prediction interval,9.6
"Meats, poultry, and fish",November,2003,2004,Mid point of prediction interval,5.8
